Model,Precision,Recall,PR-AUC,Total Cost,FP,FN
Logistic Regression,0.880466472303207,0.6138211382113821,,43450,41,190
VAE Baseline,0.9841269841269841,0.25203252032520324,0.6000055165009951,20790,1,184
VAE Best (Tuned),0.940677966101695,0.45121951219512196,0.6938756007952879,18700,7,135
