Model,Precision,Recall,PR-AUC,Total Cost ($),FP,FN
LogReg,0.8857142857142857,0.6300813008130082,0.7568380323835109,42020,40,182
CatBoost,0.9951100244498777,0.8272357723577236,0.9050899318337218,10450,2,85
VAE,0.941908713692946,0.4613821138211382,0.6291770549971927,36850,14,265
FFNN,0.9851632047477745,0.6747967479674797,0.8757442290512908,20350,5,160
Ensemble,0.995049504950495,0.8170731707317073,0.9112655422430456,11000,2,90
