config_idx,hidden_dim,latent_dim,beta,learning_rate,epochs,batch_size,train_loss,val_loss,val_cost,threshold,test_cost,test_precision,test_recall,test_pr_auc,test_fp,test_fn,test_tp,test_tn
1,64,8,0.5,0.001,100,256,7.827118750890755,7.842354650651566,27280,3.1427755317733554,27060,0.8333333333333334,0.2032520325203252,0.565703414458149,10,196,50,56853
2,64,8,0.5,0.0001,100,256,8.88310977826732,8.868012811494292,22660,7.7154228363088,21340,0.9827586206896551,0.23170731707317074,0.7064181454801948,1,189,57,56862
3,64,8,1.0,0.001,100,256,11.492548955183631,11.480813534284156,25300,4.7963327140860255,24090,0.9215686274509803,0.1910569105691057,0.5591299452925621,4,199,47,56859
4,64,8,1.0,0.0001,100,256,12.550587534248297,12.524339201238064,24640,5.137202917115395,23650,0.9534883720930233,0.16666666666666666,0.554231649521074,2,205,41,56861
5,64,8,2.0,0.001,100,256,15.999099639761448,16.045962444823523,25960,8.904157192252233,23210,0.975609756097561,0.16260162601626016,0.5727442009921763,1,206,40,56862
6,64,8,2.0,0.0001,100,256,16.65938751380099,16.596121379455884,19690,13.302686828654062,19580,0.9262295081967213,0.45934959349593496,0.7670305734775297,9,133,113,56854
7,64,16,0.5,0.001,100,256,7.762517932397893,7.7421093241650984,22330,2.0820037021797706,20900,0.9181818181818182,0.4105691056910569,0.664301994659527,9,145,101,56854
8,64,16,0.5,0.0001,100,256,8.648843929473536,8.626944915850377,21670,1.840485880859223,22880,0.8942307692307693,0.3780487804878049,0.6311102671228225,11,153,93,56852
9,64,16,1.0,0.001,100,256,11.520423830437759,11.534152260696763,24640,4.562449560176779,24310,0.9183673469387755,0.18292682926829268,0.6103094598500014,4,201,45,56859
10,64,16,1.0,0.0001,100,256,12.456903407808067,12.426245977173206,22660,5.346458284378117,23100,0.9583333333333334,0.18699186991869918,0.6590959999564305,2,200,46,56861
11,64,16,2.0,0.001,100,256,16.367931883533394,16.42168897173909,25960,22.090662261996304,25080,0.875,0.25609756097560976,0.673557230505167,9,183,63,56854
12,64,16,2.0,0.0001,100,256,17.103771013848757,16.914010428573942,22330,14.679443222219088,23430,0.8780487804878049,0.43902439024390244,0.702384549313917,15,138,108,56848
13,64,32,0.5,0.001,100,256,7.782701494579305,7.746010147195892,22660,3.879696443644112,24310,0.9302325581395349,0.16260162601626016,0.6014984568442074,3,206,40,56860
14,64,32,0.5,0.0001,100,256,8.534567639946651,8.510832505319804,19690,2.849154010779164,16830,0.972972972972973,0.43902439024390244,0.7406064511016298,3,138,108,56860
